preset,uid,difficulty,hit,rr,recall,correct,supported,claims,answer
baseline,UID0008,easy,0,0.0,0.0,0,0,0,
baseline,UID0009,hard,0,0.0,0.0,0,0,0,
baseline,UID0010,hard,0,0.0,0.0,0,2,5,"I don't have sufficient information in the provided Treasury Bulletin excerpts to answer this question. The excerpts contain data on Foreign Currency Positions (weekly and monthly reports of major/large market participants' spot, forward, and futures contracts in yen), but none of them show U.S. Tre"
baseline,UID0019,hard,0,0.0,0.0,0,0,0,
baseline,UID0036,hard,0,0.0,0.0,0,4,6,"I don't have enough information from the provided Treasury Bulletin excerpts to answer this question.  The excerpts provided contain data on: - Interest rate spreads (TED spread, Baa-Treasury spread) - Mortgage rates - Foreign exchange rates - U.S. banking liabilities and claims by country/region (t"
baseline,UID0042,hard,0,0.0,0.0,0,0,0,
baseline,UID0054,easy,0,0.0,0.0,0,5,5,"Looking through all the provided Treasury Bulletin excerpts, I need to find Euro (Section VI) weekly net options position data covering the period surrounding March 11, 2020 (when WHO declared COVID-19 a pandemic) — specifically the 5 weeks before and 5 weeks after that date.  However, none of the p"
baseline,UID0066,easy,0,0.0,0.0,0,0,0,
baseline,UID0068,hard,0,0.0,0.0,0,0,0,"I don't have information about OCS (Outer Continental Shelf) rents and royalties data for 2016 in the provided Treasury Bulletin excerpts. The documents contain data on financial derivatives contracts, currency circulation, public debt operations, and Treasury financing auctions, but none contain da"
baseline,UID0072,easy,0,0.0,0.0,0,0,0,
baseline,UID0077,hard,1,1.0,0.5,0,0,0,
baseline,UID0078,easy,1,0.333,0.333,0,0,0,
baseline,UID0079,easy,0,0.0,0.0,0,0,0,
baseline,UID0081,easy,0,0.0,0.0,0,0,0,
baseline,UID0082,easy,1,0.25,0.5,0,0,0,
baseline,UID0085,hard,0,0.0,0.0,0,2,4,"Looking through the provided Treasury Bulletin excerpts, I can only find state-by-state Internal Revenue Receipts data for **2010** (in treasury_bulletin_2010_12.txt, Table FFO-5). None of the excerpts contain the state-level breakdown of Internal Revenue Receipts for **CY2018** or **CY2019**, which"
baseline,UID0086,hard,0,0.0,0.0,0,3,3,"Based on the provided Treasury Bulletin excerpts, none of the documents contain TABLE ESF-1 balance sheet data for June 30, 2022, or September 30, 2022. The excerpts include ESF-1 data for other periods (e.g., 2010, 2013, 2014, 2015, 2016, 2020, 2024, 2025), but no file corresponds to the June–Septe"
baseline,UID0087,easy,0,0.0,0.0,0,0,0,
